rowlabel,split,sex,yrsarea,resyrago,work2,tenure1,livharm1,agegrp7,ethgrp2a,educat3,rural2,edeprivex,IndivWgtx,bcsvictim,rubbcomm,vandcomm,poorhou,Total
136554040,D (Online Security),Male,5 years but less than 10 years,No,Yes,Rent it,Single,16-24,White,O level/GCSE,Urban,2,2.86,Not a victim of crime,Not very common,Not at all common,Not at all common,1
136828120,D (Online Security),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Degree or diploma,Urban,3,1.61,Victim of crime,Not at all common,Not at all common,Not at all common,0
136826170,A (Experiences of the police),Female,Less than 12 months,No,No,Rent it,Single,25-34,Asian or Asian British,Apprenticeship or A/AS level,Urban,3,0.77,Not a victim of crime,Fairly common,Not at all common,Not very common,3
147369270,C (Crime prevention and security),Female,2 years but less than 3 years,,No,Rent it,Separate,35-44,Asian or Asian British,Degree or diploma,Urban,1,0.65,Not a victim of crime,Not coded,Not coded,Not coded,0
135554230,C (Crime prevention and security),Male,3 years but less than 5 years,Yes,Yes,Rent it,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,3,1.12,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147264180,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Widowed,75+,White,None,Urban,3,0.72,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136363160,D (Online Security),Male,5 years but less than 10 years,,No,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,16-24,Chinese or Other,Apprenticeship or A/AS level,Urban,5,1.9,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136461310,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,O level/GCSE,Rural,3,1.11,Victim of crime,Not at all common,Not at all common,Not very common,1
136190220,B (Attitudes to the CJS),Female,10 years but less than 20 years,,No,Own it outright,Single,16-24,White,O level/GCSE,Urban,5,2.75,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136611150,C (Crime prevention and security),Female,20 years or longer,,Yes,Own it outright,Widowed,65-74,White,O level/GCSE,Rural,4,0.24,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136495290,A (Experiences of the police),Male,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Cohabiting,35-44,White,Apprenticeship or A/AS level,Urban,3,1.17,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137216070,C (Crime prevention and security),Female,5 years but less than 10 years,,Yes,Own it outright,Cohabiting,35-44,White,O level/GCSE,Rural,5,0.58,Not a victim of crime,Not very common,Not at all common,Not at all common,1
147587070,C (Crime prevention and security),Female,2 years but less than 3 years,Yes,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,Asian or Asian British,Degree or diploma,Urban,4,1.27,Victim of crime,Not at all common,Not at all common,Not at all common,0
136172220,B (Attitudes to the CJS),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,55-64,White,Apprenticeship or A/AS level,Urban,4,1.6,Not a victim of crime,Not very common,Not very common,Not very common,3
136264250,A (Experiences of the police),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Single,75+,White,Degree or diploma,Rural,,0.31,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147427070,C (Crime prevention and security),Female,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,65-74,White,Apprenticeship or A/AS level,Urban,2,1.17,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136858030,C (Crime prevention and security),Female,10 years but less than 20 years,,No,Own it outright,Married/Civil Partnered,75+,White,Other,Urban,3,1.56,Not a victim of crime,Not very common,Not very common,Not very common,3
137079070,C (Crime prevention and security),Female,20 years or longer,,No,Rent it,Cohabiting,16-24,White,O level/GCSE,Rural,3,0.65,Victim of crime,Not very common,Not at all common,Not at all common,1
147386180,B (Attitudes to the CJS),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Single,25-34,White,O level/GCSE,Urban,4,4.09,Not a victim of crime,Not very common,Not very common,Not very common,3
136830270,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,55-64,Asian or Asian British,Other,Urban,1,1.31,Not a victim of crime,Not very common,Not very common,Not very common,3
136343280,D (Online Security),Female,5 years but less than 10 years,,No,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Divorced,65-74,White,Degree or diploma,Urban,3,0.35,Victim of crime,Not at all common,Not at all common,Not very common,1
136575250,A (Experiences of the police),Male,Less than 12 months,No,Yes,Rent it,Single,16-24,White,Apprenticeship or A/AS level,Urban,5,0.76,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136195130,A (Experiences of the police),Female,2 years but less than 3 years,,No,Rent it,Married/Civil Partnered,16-24,White,None,Rural,1,4.18,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147259020,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,O level/GCSE,Urban,2,1.24,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136191270,C (Crime prevention and security),Male,Less than 12 months,No,Yes,Rent it,Married/Civil Partnered,25-34,White,Degree or diploma,Urban,4,1.49,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136291180,B (Attitudes to the CJS),Male,2 years but less than 3 years,,Yes,Rent it,Cohabiting,45-54,White,None,Urban,5,1.26,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147441070,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,None,Urban,5,1.3,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136969160,D (Online Security),Female,10 years but less than 20 years,,No,Rent it,Single,25-34,Black or Black British,None,Urban,1,0.86,Victim of crime,Fairly common,Fairly common,Fairly common,6
136112170,A (Experiences of the police),Female,10 years but less than 20 years,,No,Rent it,Divorced,35-44,Black or Black British,None,Urban,1,0.56,Victim of crime,Fairly common,Fairly common,Fairly common,6
136599070,C (Crime prevention and security),Female,20 years or longer,,No,Rent it,Widowed,75+,White,None,Rural,4,0.39,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136830110,C (Crime prevention and security),Male,12 months but less than 2 years,Yes,No,Rent it,Single,25-34,White,Apprenticeship or A/AS level,Urban,1,2.13,Not a victim of crime,Not very common,Not very common,Not very common,3
136105250,A (Experiences of the police),Female,3 years but less than 5 years,,No,Rent it,Separate,35-44,White,O level/GCSE,Urban,1,0.9,Victim of crime,Not very common,Not at all common,Not at all common,1
147513090,A (Experiences of the police),Male,10 years but less than 20 years,,No,Buying it with the help of a mortgage or loan,Single,55-64,White,Apprenticeship or A/AS level,Urban,2,0.58,Not a victim of crime,Fairly common,Fairly common,Fairly common,6
136889330,A (Experiences of the police),Female,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Single,16-24,White,Apprenticeship or A/AS level,Rural,3,1.31,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137213050,A (Experiences of the police),Male,3 years but less than 5 years,,Yes,Rent it,Cohabiting,25-34,White,Degree or diploma,Urban,4,1.56,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136822250,A (Experiences of the police),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Separate,45-54,White,Other,Urban,4,0.62,Victim of crime,Not very common,Not very common,Not very common,3
136909100,B (Attitudes to the CJS),Female,10 years but less than 20 years,,No,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Degree or diploma,Urban,5,1.98,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136899350,C (Crime prevention and security),Female,20 years or longer,,No,Rent it,Divorced,65-74,White,None,Urban,2,0.27,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136293190,C (Crime prevention and security),Male,12 months but less than 2 years,No,Yes,Rent it,Cohabiting,25-34,White,O level/GCSE,Urban,2,1.61,Not a victim of crime,Not very common,Not at all common,Not at all common,1
147274110,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,16-24,White,Apprenticeship or A/AS level,Urban,5,3.5,Victim of crime,Not at all common,Not at all common,Not at all common,0
147402020,B (Attitudes to the CJS),Male,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Apprenticeship or A/AS level,Urban,1,1.77,Victim of crime,Not very common,Not at all common,Not at all common,1
136036280,D (Online Security),Male,10 years but less than 20 years,,No,Rent it,Widowed,75+,White,Degree or diploma,Urban,2,0.51,Not a victim of crime,Fairly common,Not very common,Not at all common,3
136923140,B (Attitudes to the CJS),Male,3 years but less than 5 years,,Yes,Own it outright,Divorced,55-64,White,Degree or diploma,Urban,5,0.36,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147335080,D (Online Security),Female,2 years but less than 3 years,,Yes,Rent it,Cohabiting,25-34,White,None,Rural,4,1.03,Victim of crime,Fairly common,Fairly common,Fairly common,6
136743090,A (Experiences of the police),Female,5 years but less than 10 years,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,16-24,White,Degree or diploma,Rural,4,3.44,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136289220,B (Attitudes to the CJS),Female,2 years but less than 3 years,Yes,Yes,Rent it,Single,25-34,White,Degree or diploma,Urban,3,2.88,Victim of crime,Not very common,Not very common,Not very common,3
136774190,C (Crime prevention and security),Male,10 years but less than 20 years,,No,Rent it,Single,16-24,White,O level/GCSE,Urban,2,1.12,Not a victim of crime,Not very common,Not very common,Not very common,3
136918230,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,None,Rural,4,1.35,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136129330,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Widowed,75+,White,O level/GCSE,Rural,,0.29,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136188280,D (Online Security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,Degree or diploma,Rural,5,1.2,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137222070,C (Crime prevention and security),Male,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,25-34,White,Apprenticeship or A/AS level,Urban,,0.72,Not a victim of crime,Not very common,Not at all common,Not at all common,1
136612300,B (Attitudes to the CJS),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Rural,4,0.83,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137019330,A (Experiences of the police),Female,2 years but less than 3 years,,Yes,Buying it with the help of a mortgage or loan,Separate,25-34,White,O level/GCSE,Urban,2,0.3,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136421200,D (Online Security),Male,5 years but less than 10 years,,Yes,Rent it,Single,45-54,White,Degree or diploma,Urban,1,0.79,Victim of crime,Not very common,Not very common,Fairly common,4
136327110,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Single,16-24,White,Degree or diploma,Rural,4,1.67,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147527150,C (Crime prevention and security),Female,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Cohabiting,25-34,White,Degree or diploma,Urban,1,1.21,Not a victim of crime,Fairly common,Fairly common,Fairly common,6
136190270,C (Crime prevention and security),Female,3 years but less than 5 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,Asian or Asian British,Degree or diploma,Urban,4,0.83,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136104080,D (Online Security),Female,20 years or longer,,Yes,Rent it,Single,25-34,White,Apprenticeship or A/AS level,Urban,3,1.19,Not a victim of crime,Not very common,Not very common,Not very common,3
136520290,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,Degree or diploma,Rural,4,0.71,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137122230,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Divorced,35-44,White,O level/GCSE,Urban,3,0.64,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136894050,A (Experiences of the police),Male,10 years but less than 20 years,,Yes,Rent it,Married/Civil Partnered,55-64,White,Apprenticeship or A/AS level,Rural,3,1.07,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136861230,C (Crime prevention and security),Male,12 months but less than 2 years,Yes,Yes,Rent it,Married/Civil Partnered,35-44,Black or Black British,None,Urban,1,1.43,Not a victim of crime,Not very common,Not at all common,Not very common,2
147383290,A (Experiences of the police),Female,20 years or longer,,Yes,Rent it,Divorced,45-54,Black or Black British,Apprenticeship or A/AS level,Urban,1,0.64,Not a victim of crime,Not very common,Not at all common,Not at all common,1
147452310,C (Crime prevention and security),Male,20 years or longer,,Yes,Rent it,Married/Civil Partnered,25-34,White,Apprenticeship or A/AS level,Urban,3,1.37,Not a victim of crime,Not very common,Not very common,Not very common,3
136780050,A (Experiences of the police),Male,20 years or longer,,No,Rent it,Married/Civil Partnered,75+,White,None,Urban,4,1.11,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136199150,C (Crime prevention and security),Female,20 years or longer,,No,Buying it with the help of a mortgage or loan,Divorced,65-74,White,None,Rural,3,0.52,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136510240,D (Online Security),Female,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Apprenticeship or A/AS level,Urban,4,0.79,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136345210,A (Experiences of the police),Female,10 years but less than 20 years,,No,Rent it,Divorced,65-74,White,None,Rural,1,0.28,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136756010,A (Experiences of the police),Female,20 years or longer,,Yes,Own it outright,Widowed,55-64,White,Other,Urban,2,1.24,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136405020,B (Attitudes to the CJS),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Apprenticeship or A/AS level,Urban,,0.59,Victim of crime,Not very common,Not at all common,Not very common,2
136839080,D (Online Security),Male,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Apprenticeship or A/AS level,Urban,1,1.79,Not a victim of crime,Not very common,Not at all common,Not very common,2
136634280,D (Online Security),Male,20 years or longer,,No,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,None,Urban,2,1.03,Victim of crime,Not at all common,Not at all common,Not at all common,0
136030010,A (Experiences of the police),Female,10 years but less than 20 years,,Yes,Own it outright,Married/Civil Partnered,45-54,White,Degree or diploma,Rural,2,2.77,Not a victim of crime,Not very common,Not very common,Not very common,3
136560110,C (Crime prevention and security),Female,20 years or longer,,Yes,Own it outright,Cohabiting,45-54,White,Degree or diploma,Urban,2,0.6,Victim of crime,Not at all common,Not at all common,Not very common,1
136021190,C (Crime prevention and security),Male,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,55-64,White,Apprenticeship or A/AS level,Urban,1,1.13,Victim of crime,Not very common,Not at all common,Not very common,2
137007330,A (Experiences of the police),Male,2 years but less than 3 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Apprenticeship or A/AS level,Urban,3,1.35,Victim of crime,Not very common,Not at all common,Not at all common,1
136217020,B (Attitudes to the CJS),Female,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,55-64,White,Other,Urban,1,0.53,Victim of crime,Not at all common,Not at all common,Not at all common,0
136396190,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Divorced,75+,White,None,Urban,4,0.3,Not a victim of crime,Not very common,Not at all common,Not at all common,1
136969220,B (Attitudes to the CJS),Male,20 years or longer,,No,Own it outright,Widowed,75+,Black or Black British,None,Urban,5,0.66,Not a victim of crime,Not very common,Not very common,Not very common,3
136584030,C (Crime prevention and security),Female,Less than 12 months,No,No,Rent it,Single,16-24,White,Apprenticeship or A/AS level,Urban,2,0.71,Not a victim of crime,Not very common,Not at all common,Not at all common,1
147576180,B (Attitudes to the CJS),Male,Less than 12 months,No,Yes,Buying it with the help of a mortgage or loan,Single,35-44,White,Apprenticeship or A/AS level,Urban,3,0.65,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147315030,C (Crime prevention and security),Female,2 years but less than 3 years,,No,Own it outright,Married/Civil Partnered,65-74,White,Apprenticeship or A/AS level,Urban,3,1.29,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147490180,B (Attitudes to the CJS),Female,5 years but less than 10 years,,Yes,Rent it,Divorced,55-64,White,Apprenticeship or A/AS level,Rural,3,0.27,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137039220,B (Attitudes to the CJS),Female,20 years or longer,,No,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,O level/GCSE,Urban,3,1.32,Victim of crime,Not very common,Not very common,Not very common,3
136068160,D (Online Security),Female,20 years or longer,,No,Own it outright,Single,75+,White,Degree or diploma,Urban,3,0.45,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147436160,D (Online Security),Female,5 years but less than 10 years,,No,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Rural,4,0.69,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136694230,C (Crime prevention and security),Male,20 years or longer,,No,Refusal,Single,65-74,White,Degree or diploma,Urban,4,0.64,Not a victim of crime,Fairly common,Fairly common,Fairly common,6
136767140,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,None,Urban,5,1.41,Not a victim of crime,Not very common,Not very common,Not very common,3
136329220,B (Attitudes to the CJS),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Single,35-44,White,O level/GCSE,Urban,5,0.51,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147615270,C (Crime prevention and security),Male,10 years but less than 20 years,,Yes,Rent it,Single,25-34,White,Degree or diploma,Urban,1,0.77,Not a victim of crime,Not very common,Not very common,Not very common,3
136537260,B (Attitudes to the CJS),Male,10 years but less than 20 years,Yes,Yes,Rent it,Single,35-44,White,None,Urban,,0.32,Not a victim of crime,Not very common,Not very common,Not very common,3
135349250,A (Experiences of the police),Male,20 years or longer,No,Yes,Rent it,Cohabiting,25-34,White,Degree or diploma,Rural,3,1.88,Not a victim of crime,Not very common,Not at all common,Fairly common,3
136745160,D (Online Security),Female,10 years but less than 20 years,,No,Own it outright,Married/Civil Partnered,65-74,White,Apprenticeship or A/AS level,Rural,3,0.99,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136338010,A (Experiences of the police),Male,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Degree or diploma,Rural,3,0.56,Not a victim of crime,Not very common,Not at all common,Not at all common,1
147522010,A (Experiences of the police),Female,5 years but less than 10 years,Yes,No,Buying it with the help of a mortgage or loan,Married/Civil Partnered,25-34,Asian or Asian British,None,Urban,1,1.49,Not a victim of crime,Fairly common,Fairly common,Fairly common,6
147431080,D (Online Security),Male,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,25-34,White,Degree or diploma,Rural,1,0.64,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137019290,A (Experiences of the police),Female,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,65-74,White,None,Urban,2,0.52,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136108290,A (Experiences of the police),Female,10 years but less than 20 years,,No,Own it outright,Single,16-24,White,Apprenticeship or A/AS level,Rural,4,1.2,Victim of crime,Not at all common,Not at all common,Not at all common,0
137195110,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Rural,2,0.69,Victim of crime,Not very common,Not at all common,Not at all common,1
147338180,B (Attitudes to the CJS),Female,20 years or longer,,No,Buying it with the help of a mortgage or loan,Married/Civil Partnered,55-64,White,Degree or diploma,Rural,4,0.65,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136544060,B (Attitudes to the CJS),Male,2 years but less than 3 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,25-34,White,Degree or diploma,Urban,,1.34,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136909140,B (Attitudes to the CJS),Male,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Cohabiting,25-34,White,Apprenticeship or A/AS level,Urban,2,1.29,Victim of crime,Not at all common,Not at all common,Not at all common,0
136953140,B (Attitudes to the CJS),Female,20 years or longer,No,Yes,Rent it,Single,25-34,White,O level/GCSE,Urban,,0.33,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147410290,A (Experiences of the police),Female,20 years or longer,,No,Rent it,Single,55-64,White,None,Urban,1,0.62,Not a victim of crime,Not very common,Not very common,Not very common,3
137052160,D (Online Security),Female,12 months but less than 2 years,Yes,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Apprenticeship or A/AS level,Urban,4,1.33,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136123200,D (Online Security),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,45-54,White,Degree or diploma,Urban,5,0.56,Victim of crime,Not at all common,Not at all common,Not at all common,0
147636140,B (Attitudes to the CJS),Male,10 years but less than 20 years,,No,Rent it,Married/Civil Partnered,65-74,White,Apprenticeship or A/AS level,Urban,,0.79,Not a victim of crime,Not very common,Not very common,Not very common,3
137064190,C (Crime prevention and security),Female,10 years but less than 20 years,,No,Rent it,Divorced,65-74,White,None,Rural,2,0.33,Not a victim of crime,Not very common,Not very common,Not very common,3
136486120,D (Online Security),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,55-64,White,None,Urban,2,1.18,Not a victim of crime,Not very common,Not at all common,Not very common,2
136621180,B (Attitudes to the CJS),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Apprenticeship or A/AS level,Urban,5,1.16,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136218190,C (Crime prevention and security),Female,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Single,55-64,White,Apprenticeship or A/AS level,Rural,4,0.25,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136408170,A (Experiences of the police),Male,12 months but less than 2 years,Yes,No,Rent it,Married/Civil Partnered,25-34,Asian or Asian British,Degree or diploma,Urban,,1.23,Not a victim of crime,Not very common,Fairly common,Very common,6
136475280,D (Online Security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Single,45-54,White,Degree or diploma,Urban,1,0.56,Victim of crime,Very common,Very common,Very common,9
136889150,C (Crime prevention and security),Female,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Divorced,45-54,White,O level/GCSE,Rural,5,0.35,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137004270,C (Crime prevention and security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,None,Urban,4,1.31,Not a victim of crime,Not very common,Not at all common,Not very common,2
135559140,B (Attitudes to the CJS),Female,10 years but less than 20 years,,No,Own it outright,Married/Civil Partnered,65-74,White,Other,Rural,4,0.25,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147527260,B (Attitudes to the CJS),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,55-64,White,Apprenticeship or A/AS level,Urban,4,0.6,Not a victim of crime,Not very common,Not very common,Not very common,3
147237030,C (Crime prevention and security),Female,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Urban,4,0.58,Not a victim of crime,Not very common,Not very common,Not very common,3
136452300,B (Attitudes to the CJS),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,O level/GCSE,Urban,5,1.27,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137197270,C (Crime prevention and security),Male,Less than 12 months,No,Yes,Rent it,Single,25-34,Asian or Asian British,None,Urban,2,0.73,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136889260,B (Attitudes to the CJS),Female,2 years but less than 3 years,,No,Own it outright,Separate,75+,White,Degree or diploma,Rural,2,0.42,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147590250,A (Experiences of the police),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,None,Rural,5,0.6,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147452300,B (Attitudes to the CJS),Male,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Single,35-44,White,Apprenticeship or A/AS level,Urban,3,0.65,Not a victim of crime,Not very common,Not very common,Not very common,3
137134190,C (Crime prevention and security),Male,10 years but less than 20 years,,Yes,Rent it,Single,16-24,White,Apprenticeship or A/AS level,Urban,2,3.22,Not a victim of crime,Not very common,Not at all common,Not at all common,1
136158210,A (Experiences of the police),Female,20 years or longer,,Yes,Own it outright,Separate,45-54,White,Degree or diploma,Urban,4,1.65,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137078040,D (Online Security),Male,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Divorced,45-54,White,O level/GCSE,Urban,3,0.29,Victim of crime,Not at all common,Not at all common,Not at all common,0
136114160,D (Online Security),Female,3 years but less than 5 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,25-34,White,Degree or diploma,Rural,5,1.06,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136009290,A (Experiences of the police),Female,3 years but less than 5 years,,No,Rent it,Single,25-34,Black or Black British,O level/GCSE,Urban,2,2.12,Not a victim of crime,Fairly common,Not very common,Fairly common,5
136149120,D (Online Security),Male,5 years but less than 10 years,,No,Buying it with the help of a mortgage or loan,Single,35-44,Asian or Asian British,Degree or diploma,Urban,1,0.69,Not a victim of crime,Not very common,Not at all common,Not very common,2
136067240,D (Online Security),Male,12 months but less than 2 years,Yes,No,Buying it with the help of a mortgage or loan,Single,16-24,White,Apprenticeship or A/AS level,Urban,3,1.86,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147607020,B (Attitudes to the CJS),Female,20 years or longer,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Widowed,65-74,White,None,Rural,3,0.36,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136544290,A (Experiences of the police),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,,0.58,Not a victim of crime,Not very common,Not very common,Not very common,3
137178270,C (Crime prevention and security),Female,20 years or longer,Yes,No,Rent it,Single,16-24,White,None,Urban,1,0.78,Not a victim of crime,Not very common,Not at all common,Not at all common,1
136240330,A (Experiences of the police),Male,5 years but less than 10 years,,Yes,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Urban,4,0.7,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147305300,B (Attitudes to the CJS),Female,10 years but less than 20 years,,No,Own it outright,Married/Civil Partnered,65-74,White,O level/GCSE,Rural,4,1.15,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147480130,A (Experiences of the police),Male,10 years but less than 20 years,,No,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,16-24,White,Degree or diploma,Rural,1,2.21,Not a victim of crime,Not very common,Not at all common,Fairly common,3
136628190,C (Crime prevention and security),Female,Less than 12 months,No,No,Buying it with the help of a mortgage or loan,Cohabiting,35-44,White,Degree or diploma,Urban,4,1.17,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
