rowlabel,split,sex,yrsarea,resyrago,work2,tenure1,livharm1,agegrp7,ethgrp2a,educat3,rural2,edeprivex,wdeprivex,IndivWgtx,cause2m,walkdark,walkday,homealon,wburgl,wmugged,wcarstol,wfromcar,wraped,wattack,wraceatt,worryx,bcsvictim,rubbcomm,vandcomm,poorhou,antisocx
137012110,C (Crime prevention and security),Male,12 months but less than 2 years,Yes,Yes,Rent it,Single,25-34,White,Degree or diploma,Rural,4,,2.03,,,,,Not very worried,Not very worried,,,Not at all worried,Not very worried,Not very worried,-0.23,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147346260,B (Attitudes to the CJS),Male,10 years but less than 20 years,,No,Rent it,Cohabiting,45-54,White,Apprenticeship or A/AS level,Urban,2,,1.08,,,,,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Not very common,
136357080,D (Online Security),Male,3 years but less than 5 years,,No,Rent it,Married/Civil Partnered,75+,White,Degree or diploma,Urban,5,,1.14,E. Drugs,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136010020,B (Attitudes to the CJS),Female,10 years but less than 20 years,,Yes,Own it outright,Married/Civil Partnered,45-54,Chinese or Other,Degree or diploma,Urban,2,,1.39,,,,,,,Fairly worried,Fairly worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136624100,B (Attitudes to the CJS),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,Apprenticeship or A/AS level,Urban,3,,1.11,,,,,,,Not at all worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136878300,B (Attitudes to the CJS),Male,20 years or longer,,No,Rent it,Divorced,75+,White,Apprenticeship or A/AS level,Urban,3,,0.56,,,,,,,Not very worried,Fairly worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136560170,A (Experiences of the police),Male,20 years or longer,,Yes,Rent it,Widowed,45-54,White,Apprenticeship or A/AS level,Urban,1,,0.8,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.02
137215010,A (Experiences of the police),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Cohabiting,55-64,White,Degree or diploma,Urban,3,,0.52,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,1.07
137133310,C (Crime prevention and security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,Degree or diploma,Urban,5,,1.25,,,,,Not very worried,Very worried,,,Very worried,Not very worried,Not very worried,1.19,Not a victim of crime,Not at all common,Not at all common,Not at all common,
137205090,A (Experiences of the police),Female,3 years but less than 5 years,,No,Rent it,Married/Civil Partnered,25-34,Asian or Asian British,Degree or diploma,Urban,1,,1.23,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Fairly common,0.97
147363310,C (Crime prevention and security),Male,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Apprenticeship or A/AS level,Urban,,5,0.62,,,,,Fairly worried,Fairly worried,,,Not at all worried,Very worried,Not at all worried,0.67,Victim of crime,Not very common,Not at all common,Not at all common,
147445060,B (Attitudes to the CJS),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,None,Urban,5,,1.23,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136298250,A (Experiences of the police),Male,20 years or longer,Yes,No,Rent it,Cohabiting,55-64,White,None,Urban,3,,1.12,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.97
136989080,D (Online Security),Female,5 years but less than 10 years,,Yes,Rent it,Single,35-44,White,Apprenticeship or A/AS level,Urban,1,,0.6,A. Too lenient sentencing,A bit unsafe,Fairly safe,Fairly safe,,,,,,,,,Not a victim of crime,Fairly common,Fairly common,Fairly common,
136255220,B (Attitudes to the CJS),Female,20 years or longer,,No,Rent it,Single,16-24,White,Degree or diploma,Urban,2,,0.91,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
136462100,B (Attitudes to the CJS),Female,3 years but less than 5 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,25-34,White,Degree or diploma,Urban,2,,0.84,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
136218200,D (Online Security),Female,12 months but less than 2 years,Yes,No,Rent it,Divorced,65-74,White,Degree or diploma,Rural,4,,0.25,D. Lack of discipline from parents,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136423150,C (Crime prevention and security),Male,2 years but less than 3 years,,Yes,Rent it,Separate,35-44,Asian or Asian British,Degree or diploma,Urban,1,,1.4,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not very worried,0.04,Not a victim of crime,Fairly common,Not very common,Not very common,
147296260,B (Attitudes to the CJS),Female,2 years but less than 3 years,,No,Own it outright,Cohabiting,55-64,White,None,Rural,4,,1.02,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136242280,D (Online Security),Male,20 years or longer,,No,Own it outright,Widowed,75+,White,Other,Rural,3,,0.41,D. Lack of discipline from parents,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136442120,D (Online Security),Female,10 years but less than 20 years,,No,Rent it,Widowed,75+,White,None,Urban,3,,0.6,C. Lack of discipline from school,Fairly safe,Fairly safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
135523300,B (Attitudes to the CJS),Female,3 years but less than 5 years,,Yes,Rent it,Single,16-24,White,O level/GCSE,Urban,3,,0.67,,,,,,,Not very worried,Very worried,,,,,Victim of crime,Fairly common,Not at all common,Not at all common,
137202310,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,3,,0.88,,,,,Not very worried,Not very worried,,,Fairly worried,Not very worried,Not at all worried,0.02,Not a victim of crime,Not very common,Not at all common,Not very common,
137016260,B (Attitudes to the CJS),Male,20 years or longer,,Yes,Rent it,Cohabiting,25-34,White,Apprenticeship or A/AS level,Urban,4,,1.61,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
135495040,D (Online Security),Female,10 years but less than 20 years,,Yes,Rent it,Divorced,55-64,White,O level/GCSE,Urban,1,,0.59,G. Unemployment,A bit unsafe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
137189020,B (Attitudes to the CJS),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Single,16-24,White,O level/GCSE,Urban,1,,2.45,,,,,,,Not applicable,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
135625260,B (Attitudes to the CJS),Female,20 years or longer,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,16-24,White,None,Urban,1,,1.82,,,,,,,Not at all worried,Fairly worried,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
137046170,A (Experiences of the police),Male,20 years or longer,,No,Rent it,Widowed,75+,White,None,Urban,2,,0.56,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1
136654210,A (Experiences of the police),Female,12 months but less than 2 years,Yes,No,Rent it,Separate,25-34,Black or Black British,Degree or diploma,Urban,5,,0.33,,,,,,,,,,,,,Victim of crime,Not very common,Not at all common,Not at all common,-0.05
147384320,D (Online Security),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Apprenticeship or A/AS level,Urban,4,,1.21,D. Lack of discipline from parents,Fairly safe,Very safe,Very safe,,,,,,,,,Victim of crime,Not very common,Not very common,Not very common,
136502250,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Urban,5,,0.89,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,-1.22
136621220,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,Apprenticeship or A/AS level,Rural,3,,1,,,,,,,Not at all worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136956030,C (Crime prevention and security),Female,Less than 12 months,No,No,Rent it,Married/Civil Partnered,35-44,Asian or Asian British,O level/GCSE,Urban,5,,1.94,,,,,Very worried,Very worried,,,Fairly worried,Very worried,Fairly worried,2.35,Not a victim of crime,Not at all common,Not at all common,Not at all common,
135230210,A (Experiences of the police),Male,20 years or longer,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,25-34,White,Degree or diploma,Urban,4,,0.83,,,,,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Not very common,-0.52
136941190,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Widowed,65-74,White,None,Rural,5,,0.26,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,-0.25,Not a victim of crime,Not very common,Not at all common,Not at all common,
136621170,A (Experiences of the police),Female,10 years but less than 20 years,,No,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,16-24,White,O level/GCSE,Urban,5,,2.44,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,0.23
136442030,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Separate,55-64,White,Degree or diploma,Urban,1,,1.72,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,-0.25,Not a victim of crime,Fairly common,Fairly common,Fairly common,
147378230,C (Crime prevention and security),Female,10 years but less than 20 years,,No,Own it outright,Divorced,65-74,White,Apprenticeship or A/AS level,Urban,1,,0.59,,,,,Fairly worried,Fairly worried,,,Not very worried,Fairly worried,Not very worried,0.92,Not a victim of crime,Not very common,Not very common,Not very common,
147527130,A (Experiences of the police),Female,Less than 12 months,No,Yes,Rent it,Cohabiting,25-34,Mixed,Degree or diploma,Urban,1,,1.36,,,,,,,,,,,,,Victim of crime,Very common,Very common,Very common,-0.16
136846180,B (Attitudes to the CJS),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Degree or diploma,Urban,4,,2.34,,,,,,,Not at all worried,Not very worried,,,,,Not a victim of crime,Not very common,Not at all common,Not very common,
137010070,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Rent it,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,1,,1.07,,,,,Fairly worried,Not very worried,,,Fairly worried,Not very worried,Not very worried,0.57,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147536040,D (Online Security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,O level/GCSE,Urban,3,,1.07,C. Lack of discipline from school,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
136534350,C (Crime prevention and security),Male,3 years but less than 5 years,,Yes,Buying it with the help of a mortgage or loan,Single,35-44,White,O level/GCSE,Rural,4,,0.33,,,,,Not very worried,Not very worried,,,Not at all worried,Not very worried,Not at all worried,-0.51,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147587240,D (Online Security),Female,5 years but less than 10 years,,No,Own it outright,Widowed,75+,White,None,Urban,4,,0.68,A. Too lenient sentencing,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
136998130,A (Experiences of the police),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Cohabiting,45-54,White,Degree or diploma,Rural,3,,1.12,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.7
136224060,B (Attitudes to the CJS),Female,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,55-64,White,O level/GCSE,Rural,4,,1.05,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147451190,C (Crime prevention and security),Female,12 months but less than 2 years,Yes,Yes,Buying it with the help of a mortgage or loan,Single,35-44,White,Degree or diploma,Urban,4,,0.63,,,,,Fairly worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,0.01,Not a victim of crime,Not at all common,Not at all common,Not at all common,
137063120,D (Online Security),Female,20 years or longer,,No,Own it outright,Divorced,65-74,White,Other,Urban,1,,0.34,D. Lack of discipline from parents,Very unsafe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Not very common,
147507070,C (Crime prevention and security),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,Asian or Asian British,Degree or diploma,Urban,1,,4.05,,,,,Very worried,Very worried,,,Very worried,Very worried,Very worried,2.9,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136675060,B (Attitudes to the CJS),Male,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Cohabiting,55-64,White,O level/GCSE,Urban,,3,0.56,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not very common,Not at all common,Not very common,
136022100,B (Attitudes to the CJS),Male,10 years but less than 20 years,,No,Own it outright,Married/Civil Partnered,65-74,White,Degree or diploma,Rural,5,,1.03,,,,,,,Not very worried,Fairly worried,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,
136885070,C (Crime prevention and security),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Single,45-54,White,Degree or diploma,Urban,3,,0.5,,,,,Fairly worried,Not very worried,,,Not very worried,Not at all worried,Not at all worried,-0.3,Victim of crime,Not at all common,Not at all common,Not very common,
136510100,B (Attitudes to the CJS),Male,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Divorced,45-54,White,Degree or diploma,Urban,4,,0.42,,,,,,,Fairly worried,Not at all worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136744260,B (Attitudes to the CJS),Female,Less than 12 months,No,Yes,Rent it,Cohabiting,25-34,White,Apprenticeship or A/AS level,Rural,2,,1.21,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147574240,D (Online Security),Male,2 years but less than 3 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,25-34,White,O level/GCSE,Urban,4,,0.75,E. Drugs,Fairly safe,Very safe,Very safe,,,,,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,
147345010,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Widowed,65-74,White,Degree or diploma,Urban,5,,0.49,,,,,,,,,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,
137135250,A (Experiences of the police),Male,Less than 12 months,No,No,Rent it,Cohabiting,55-64,White,None,Urban,1,,1.3,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not very common,
136748250,A (Experiences of the police),Male,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Cohabiting,35-44,White,Apprenticeship or A/AS level,Urban,5,,1.03,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,0.98
147344130,A (Experiences of the police),Female,2 years but less than 3 years,,No,Own it outright,Widowed,75+,White,Other,Urban,3,,0.7,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136803010,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Divorced,75+,White,Apprenticeship or A/AS level,Urban,5,,0.67,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1
136808260,B (Attitudes to the CJS),Male,3 years but less than 5 years,,Yes,Rent it,Divorced,45-54,White,O level/GCSE,Urban,5,,0.39,,,,,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Fairly common,
136752350,C (Crime prevention and security),Female,3 years but less than 5 years,,No,Rent it,Divorced,65-74,White,Degree or diploma,Urban,3,,0.35,,,,,Not at all worried,Fairly worried,,,Not very worried,Not at all worried,Not applicable,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
137048240,D (Online Security),Female,5 years but less than 10 years,,No,Rent it,Divorced,55-64,White,None,Rural,4,,0.47,D. Lack of discipline from parents,A bit unsafe,Fairly safe,A bit unsafe,,,,,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,
137215030,C (Crime prevention and security),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,55-64,White,None,Urban,3,,0.54,,,,,Fairly worried,Not very worried,,,Not at all worried,Not very worried,Not very worried,0.03,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136241170,A (Experiences of the police),Male,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Divorced,45-54,White,Apprenticeship or A/AS level,Urban,1,,0.54,,,,,,,,,,,,,Victim of crime,Very common,Not very common,Fairly common,3.72
137043090,A (Experiences of the police),Female,10 years but less than 20 years,,No,Rent it,Widowed,75+,White,Degree or diploma,Rural,2,,0.79,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.48
147494140,B (Attitudes to the CJS),Male,20 years or longer,,Yes,Own it outright,Cohabiting,55-64,White,O level/GCSE,Rural,,3,0.68,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
137218010,A (Experiences of the police),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,Degree or diploma,Rural,3,,0.84,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1.22
136591110,C (Crime prevention and security),Female,12 months but less than 2 years,Yes,Yes,Rent it,Single,35-44,White,O level/GCSE,Urban,3,,0.29,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,-0.25,Not a victim of crime,Fairly common,Fairly common,Fairly common,
136441230,C (Crime prevention and security),Male,20 years or longer,,Yes,Rent it,Married/Civil Partnered,55-64,White,Other,Rural,4,,1.06,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not very worried,0.04,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136010270,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Rent it,Single,55-64,Black or Black British,O level/GCSE,Urban,1,,0.58,,,,,Not applicable,Not applicable,,,Not applicable,Not applicable,Not at all worried,,Not a victim of crime,Fairly common,Not very common,Not very common,
136055170,A (Experiences of the police),Female,3 years but less than 5 years,,Yes,Buying it with the help of a mortgage or loan,Cohabiting,45-54,White,Apprenticeship or A/AS level,Urban,4,,0.96,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.54
136072190,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,55-64,White,None,Urban,3,,0.56,,,,,Very worried,Very worried,,,Very worried,Very worried,Not very worried,2.33,Not a victim of crime,Not very common,Not very common,Not very common,
136672100,B (Attitudes to the CJS),Male,3 years but less than 5 years,,Yes,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Rural,3,,0.54,,,,,,,Fairly worried,Fairly worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136368080,D (Online Security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,Apprenticeship or A/AS level,Urban,4,,1.11,E. Drugs,A bit unsafe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136918040,D (Online Security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,Degree or diploma,Rural,5,,1.22,D. Lack of discipline from parents,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147604240,D (Online Security),Female,20 years or longer,,No,Rent it,Single,45-54,White,None,Urban,2,,0.45,E. Drugs,Very unsafe,Fairly safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147485270,C (Crime prevention and security),Male,20 years or longer,,No,Own it outright,Cohabiting,65-74,White,Apprenticeship or A/AS level,Urban,2,,0.72,,,,,Not very worried,Fairly worried,,,Not very worried,Not very worried,Not at all worried,0.06,Not a victim of crime,Not very common,Not very common,Not very common,
137160180,B (Attitudes to the CJS),Male,20 years or longer,,No,Rent it,Single,65-74,White,None,Urban,1,,0.38,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147469260,B (Attitudes to the CJS),Male,10 years but less than 20 years,,No,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Rural,4,,0.71,,,,,,,Not at all worried,Not at all worried,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,
136530010,A (Experiences of the police),Female,5 years but less than 10 years,,No,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Cohabiting,55-64,White,O level/GCSE,Urban,5,,1.02,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.73
147481150,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Rent it,Divorced,45-54,White,Degree or diploma,Urban,3,,0.52,,,,,Not very worried,Fairly worried,,,Very worried,Fairly worried,Not very worried,1.2,Not a victim of crime,Not very common,Not at all common,Not very common,
136033140,B (Attitudes to the CJS),Female,20 years or longer,,Yes,Rent it,Single,45-54,White,O level/GCSE,Urban,2,,1.06,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Fairly common,Not very common,Not very common,
136468240,D (Online Security),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Single,45-54,White,Degree or diploma,Urban,1,,0.23,J. The economy in general,Very unsafe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
136462300,B (Attitudes to the CJS),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Single,45-54,White,Degree or diploma,Urban,2,,0.45,,,,,,,Not very worried,Fairly worried,,,,,Victim of crime,Not very common,Not at all common,Not at all common,
136022210,A (Experiences of the police),Male,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,None,Urban,4,,2.29,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,0.01
147421230,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Own it outright,Married/Civil Partnered,45-54,White,O level/GCSE,Urban,2,,0.96,,,,,Not very worried,Not at all worried,,,Not at all worried,Not at all worried,Not at all worried,-1.13,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136528140,B (Attitudes to the CJS),Male,Less than 12 months,No,Yes,Rent it,Divorced,25-34,White,Other,Urban,4,,0.53,,,,,,,Not very worried,Fairly worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136968100,B (Attitudes to the CJS),Male,2 years but less than 3 years,,Yes,Rent it,Married/Civil Partnered,35-44,White,O level/GCSE,Urban,2,,2.92,,,,,,,Very worried,Very worried,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
136745190,C (Crime prevention and security),Male,5 years but less than 10 years,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Rural,3,,1.09,,,,,Not very worried,Not at all worried,,,Not at all worried,Not at all worried,Not at all worried,-1.13,Not a victim of crime,Not at all common,Not at all common,Not at all common,
137080150,C (Crime prevention and security),Female,2 years but less than 3 years,,No,Rent it,Cohabiting,25-34,White,None,Urban,1,,0.72,,,,,Not very worried,Not very worried,,,Fairly worried,Fairly worried,Not very worried,0.62,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136611090,A (Experiences of the police),Female,20 years or longer,,Yes,Own it outright,Single,55-64,White,Degree or diploma,Rural,4,,0.25,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1
137035050,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Widowed,75+,White,None,Urban,1,,0.34,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.36
137090160,D (Online Security),Female,3 years but less than 5 years,,Yes,Own it outright,Single,45-54,White,None,Urban,,1,0.54,A. Too lenient sentencing,A bit unsafe,Fairly safe,Fairly safe,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
136713260,B (Attitudes to the CJS),Female,20 years or longer,No,No,Rent it,Married/Civil Partnered,55-64,White,None,Urban,2,,1.14,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
136829300,B (Attitudes to the CJS),Female,12 months but less than 2 years,Yes,No,Rent it,Single,25-34,Black or Black British,None,Urban,3,,0.74,,,,,,,,,,,,,Victim of crime,Not very common,Not at all common,Not at all common,
136448230,C (Crime prevention and security),Male,10 years but less than 20 years,,No,Rent it,Single,45-54,White,Other,Urban,1,,1.2,,,,,Fairly worried,Not very worried,,,Not applicable,Fairly worried,Not at all worried,,Not a victim of crime,Fairly common,Fairly common,Fairly common,
137055230,C (Crime prevention and security),Female,Less than 12 months,No,Yes,Rent it,Single,16-24,White,None,Urban,4,,0.7,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not very worried,0.04,Not a victim of crime,Not very common,Not very common,Not very common,
147573270,C (Crime prevention and security),Male,3 years but less than 5 years,,Yes,Buying it with the help of a mortgage or loan,Cohabiting,45-54,White,O level/GCSE,Urban,3,,0.76,,,,,Not very worried,Not very worried,,,Not at all worried,Not very worried,Not very worried,-0.23,Not a victim of crime,Not very common,Not at all common,Not very common,
136977190,C (Crime prevention and security),Female,20 years or longer,,Yes,Rent it,Single,25-34,White,O level/GCSE,Urban,4,,0.61,,,,,Fairly worried,Fairly worried,,,Fairly worried,Fairly worried,Not very worried,1.18,Victim of crime,Not very common,Not at all common,Not very common,
136682010,A (Experiences of the police),Male,5 years but less than 10 years,,No,Own it outright,Married/Civil Partnered,65-74,White,O level/GCSE,Urban,,5,0.94,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.48
147368210,A (Experiences of the police),Male,10 years but less than 20 years,,Yes,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Urban,4,,1.19,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,0.53
136877100,B (Attitudes to the CJS),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Other,Urban,3,,0.82,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147412020,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,O level/GCSE,Urban,4,,0.8,,,,,,,Very worried,Very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147546200,D (Online Security),Male,20 years or longer,,No,Own it outright,Single,65-74,White,Apprenticeship or A/AS level,Urban,1,,0.63,I. Too few police,A bit unsafe,Fairly safe,Fairly safe,,,,,,,,,Victim of crime,Very common,Fairly common,Not very common,
136301100,B (Attitudes to the CJS),Male,20 years or longer,,Yes,Rent it,Separate,45-54,White,Apprenticeship or A/AS level,Urban,2,,0.59,,,,,,,Not at all worried,Very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136840030,C (Crime prevention and security),Male,20 years or longer,,Yes,Own it outright,Single,45-54,White,Other,Urban,3,,0.69,,,,,Fairly worried,Fairly worried,,,Not at all worried,Fairly worried,Not at all worried,0.36,Not a victim of crime,Not at all common,Not at all common,Not at all common,
135532290,A (Experiences of the police),Male,20 years or longer,,No,Own it outright,Widowed,75+,White,Degree or diploma,Rural,4,,0.55,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not very common,-0.42
147473350,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Own it outright,Single,45-54,White,Degree or diploma,Rural,4,,0.42,,,,,Not very worried,Not very worried,,,Not very worried,Not at all worried,Not at all worried,-0.56,Not a victim of crime,Not at all common,Not at all common,Not at all common,
